docid,best_match,score
134000043.pdf_75,Energy pathways 2050_Key results.pdf_59,0.453125
134000043.pdf_76,Energy pathways 2050_Key results.pdf_59,0.283203125
134000043.pdf_77,Energy pathways 2050_Key results.pdf_27,0.4609375
134000043.pdf_85,Energy pathways 2050_Key results.pdf_20,0.453125
134000043.pdf_86,3d96e0d9-en.pdf_32,0.275390625
134000043.pdf_87,CountryReport2021_France_final.pdf_8,0.357421875
134000043.pdf_88,CountryReport2021_France_final.pdf_10,0.42578125
134000043.pdf_89,3d96e0d9-en.pdf_48,0.40234375
134000043.pdf_90,France-brief-Phase-out-2020-monitoring-Europes-fossil-fuel-subsidies.pdf_7,0.2373046875
134000043.pdf_91,CountryReport2021_France_final.pdf_10,0.390625
134000043.pdf_92,advanced-management-distribution-grids.pdf_3,0.46875
134000043.pdf_93,Energy pathways 2050_Key results.pdf_3,0.427734375
134000043.pdf_94,Energy pathways 2050_Key results.pdf_13,0.46875
134000043.pdf_95,Intermittent-production-PtL-jet-fuel-grid-DSM-19NOV24.pdf_32,0.408203125
134000043.pdf_96,Energy pathways 2050_Key results.pdf_13,0.490234375
134000043.pdf_97,Energy pathways 2050_Key results.pdf_53,0.4765625
134000043.pdf_98,Energy pathways 2050_Key results.pdf_13,0.4453125
134000043.pdf_99,Energy pathways 2050_Key results.pdf_29,0.5546875
134000043.pdf_100,Energy pathways 2050_Key results.pdf_13,0.37890625
134000043.pdf_101,Energy pathways 2050_Key results.pdf_53,0.55078125
134000043.pdf_102,Energy pathways 2050_Key results.pdf_13,0.4140625
134000043.pdf_103,Energy pathways 2050_Key results.pdf_13,0.59375
134000043.pdf_104,Energy pathways 2050_Key results.pdf_29,0.58984375
134000043.pdf_105,Energy pathways 2050_Key results.pdf_24,0.50390625
134000043.pdf_106,cepInput_Energy_Taxation_in_France.pdf_0,0.455078125
134000043.pdf_107,Energy pathways 2050_Key results.pdf_24,0.431640625
134000043.pdf_108,Energy pathways 2050_Key results.pdf_24,0.5234375
134000043.pdf_109,PPE-Executive summary.pdf_8,0.470703125
134000043.pdf_110,Energy pathways 2050_Key results.pdf_25,0.3671875
134000043.pdf_111,Energy pathways 2050_Key results.pdf_13,0.494140625
134000043.pdf_113,3d96e0d9-en.pdf_3,0.353515625
134000043.pdf_116,Energy pathways 2050_Key results.pdf_3,0.416015625
134000043.pdf_120,the-essentials-2020-2021-veolia-en.pdf_4,0.255859375
134000043.pdf_121,Energy pathways 2050_Key results.pdf_2,0.32421875
14-solaire-photovoltaique-.pdf_1,Solar photovoltaic-toward commoditization.pdf_57,0.53125
14-solaire-photovoltaique-.pdf_2,IRENA_Renewable_power_generation_costs_in_2023.pdf_81,0.5390625
14-solaire-photovoltaique-.pdf_3,Solar photovoltaic-toward commoditization.pdf_57,0.5234375
154000517.pdf_1,France NPF (EN).pdf_5,0.365234375
154000517.pdf_2,cepInput_Energy_Taxation_in_France.pdf_6,0.396484375
154000517.pdf_19,4pages_PPE_GB_DEF_Web.pdf_2,0.3984375
154000517.pdf_24,PPE-Executive summary.pdf_28,0.392578125
154000517.pdf_27,PPE-Executive summary.pdf_28,0.4765625
154000517.pdf_29,France NPF (EN).pdf_5,0.5859375
154000517.pdf_34,Energy pathways 2050_Key results.pdf_20,0.4921875
154000517.pdf_42,LM-AEOI-Hydrocarbures-Executive-Summary.pdf_1,0.361328125
154000517.pdf_69,France NPF (EN).pdf_10,0.451171875
154000517.pdf_74,Energy pathways 2050_Key results.pdf_43,0.359375
154000517.pdf_75,CountryReport2021_France_final.pdf_8,0.390625
154000517.pdf_76,Energy pathways 2050_Key results.pdf_40,0.349609375
154000517.pdf_79,2024-02_Rapport_indicateurs_eng.pdf_21,0.427734375
154000517.pdf_86,Energy pathways 2050_Key results.pdf_40,0.546875
154000517.pdf_89,utdlabosreseauxweb.pdf_0,0.52734375
154000517.pdf_92,CountryReport2021_France_final.pdf_9,0.50390625
154000517.pdf_99,France NPF (EN).pdf_5,0.50390625
154000517.pdf_102,IRENA_Renewable_power_generation_costs_in_2023.pdf_106,0.46875
154000517.pdf_107,Solar photovoltaic-toward commoditization.pdf_11,0.671875
154000517.pdf_109,Solar photovoltaic-toward commoditization.pdf_3,0.490234375
154000517.pdf_111,Solar photovoltaic-toward commoditization.pdf_55,0.462890625
154000517.pdf_112,Solar photovoltaic-toward commoditization.pdf_68,0.4765625
154000517.pdf_114,Solar photovoltaic-toward commoditization.pdf_57,0.423828125
154000517.pdf_116,France NPF (EN).pdf_36,0.431640625
154000517.pdf_117,Tidal_Energy_V4_WEB.pdf_32,0.498046875
154000517.pdf_121,IRENA_Renewable_power_generation_costs_in_2023.pdf_169,0.55078125
154000517.pdf_122,IRENA_Renewable_power_generation_costs_in_2023.pdf_169,0.4296875
154000517.pdf_124,IRENA_Renewable_power_generation_costs_in_2023.pdf_151,0.435546875
154000517.pdf_134,France-brief-Phase-out-2020-monitoring-Europes-fossil-fuel-subsidies.pdf_6,0.38671875
154000517.pdf_135,final_report_levelised_costs_0.pdf_51,0.306640625
154000517.pdf_137,France-brief-Phase-out-2020-monitoring-Europes-fossil-fuel-subsidies.pdf_6,0.484375
154000517.pdf_154,2024-02_Rapport_indicateurs_eng.pdf_3,0.408203125
164000170.pdf_4,Energy pathways 2050_Key results.pdf_20,0.39453125
164000170.pdf_5,France NPF (EN).pdf_59,0.359375
